Peptide_ID,MW,pI,Hydrophobicity_GRAVY,Net_Charge_pH7.4,Cys_Count,Cyclizable,Label
sp|D4YWD1|TPF_PELSA,5394.89,4.55,-0.918,-5.46,1,0,1
sp|P85214|PROP1_GALME,4322.89,11.0,-1.057,3.59,0,0,1
sp|P84381|XT7_XENTR,1777.2,10.0,1.122,1.55,0,0,1
sp|P84386|XT6_XENTR,1817.18,10.0,0.811,1.55,0,0,1
sp|C0HKQ6|XAC2_XYLAI,1900.44,10.3,1.035,2.59,0,0,1
sp|C0HKQ5|XAC1_XYLAI,1940.46,10.3,0.941,2.62,0,0,1
sp|P84385|XT5_XENTR,1999.42,10.3,0.923,2.55,0,0,1
sp|P86521|AMP_LYMAR,4612.27,8.62,-0.514,3.35,10,1,1
sp|P84528|RNAM_PLESA,1016.03,6.07,-1.49,-0.44,0,0,1
sp|P81591|AMP_IPONI,4325.81,8.76,-0.52,3.36,8,1,1
sp|P0DUJ9|HBB_POTCF,4969.48,6.05,-0.6,-1.38,0,0,1
sp|B3EWC5|AMP_BRELA,1319.7,9.7,1.209,1.55,0,0,1
sp|B3EWQ3|AMP3_TAROF,4409.27,8.21,-0.033,1.44,8,1,1
sp|P83652|ALO2_ACRLO,3635.02,7.78,-0.706,0.44,6,1,1
sp|B3A0L2|AMP19_XENBU,1658.89,5.53,0.484,-0.44,0,0,1
sp|B3EWQ2|AMP2_TAROF,4826.47,7.77,-0.566,0.4,6,1,1
sp|P0CH49|AMP2_SCOMU,3016.68,11.76,-0.712,7.62,0,0,1
sp|B3A0L3|AMP20_XENBU,1787.92,4.05,-0.095,-3.33,0,0,1
sp|P83653|ALO3_ACRLO,3875.37,9.13,-0.944,4.43,6,1,1
sp|C0HJU5|AMP3_STEME,3370.78,8.34,-0.08,1.41,6,1,1
sp|P0CH48|AMP1_SCOMU,2594.05,10.55,-1.133,4.58,0,0,1
sp|P83651|ALO1_ACRLO,3692.11,8.33,-0.874,1.44,6,1,1
sp|B3EWQ1|AMP1_TAROF,4349.06,8.29,-0.361,1.36,6,1,1
sp|B3EWQ6|AMP1_PAEAL,1317.53,8.59,0.108,0.55,0,0,1
sp|O07623|SBOA_BACSU,4325.06,4.78,0.686,-1.79,3,1,1
sp|P0DKH7|AMP1_FAGES,3887.37,8.22,-0.21,1.4,8,1,1
sp|P86706|AMP2_COCNU,1266.42,4.05,0.764,-1.79,0,0,1
sp|P85212|PROP2_GALME,4931.69,9.97,-0.583,1.7,0,0,1
sp|P0DKH8|AMP2_FAGES,3915.38,8.23,-0.225,1.41,8,1,1
sp|P84384|XT4_XENTR,2318.78,10.0,0.173,2.55,0,0,1
sp|P84382|XT2_XENTR,2570.04,10.0,0.252,2.55,0,0,1
sp|P84387|XT1_XENTR,2852.47,11.26,0.422,3.59,0,0,1
sp|P0C005|ANOP_ANOSM,1154.49,11.17,0.63,2.55,0,0,1
sp|P0DI88|OXLA_BOTJA,4298.7,4.65,-0.986,-3.42,1,0,1
sp|P29187|K1A_STIHL,4060.82,9.55,-0.457,6.43,6,1,1
sp|P61507|LYT1_HOGCA,2844.44,10.6,0.064,4.62,0,0,1
sp|P62568|CR11_RANSP,2585.09,7.02,1.188,-0.33,0,0,1
sp|P0C1R0|PROTO_POLPI,1240.57,8.75,1.817,0.55,0,0,1
sp|P0CC16|OXLA_AGKCL,2375.42,4.06,-1.774,-5.39,0,0,1
sp|P0DI89|OXLA_BOTLC,3506.72,4.06,-1.0,-6.41,1,0,1
sp|P0DQD1|PLA2_WALAE,3350.93,8.48,0.217,1.44,4,1,1
sp|P86535|OXLA1_DABRR,2518.57,4.05,-1.295,-8.41,1,0,1
sp|C0HK44|LL3_LASLA,1766.26,10.6,0.373,4.51,0,0,1
sp|P0C023|TX2B_MYRPI,2458.12,9.9,0.857,4.5,2,1,1
sp|P0C1Q4|MASTI_POLPI,1654.99,8.5,0.064,0.55,0,0,1
sp|P0DI90|OXLA2_DABRR,2310.36,4.05,-1.315,-8.46,3,1,1
sp|P0DM51|PA2B1_BOTPA,5652.58,8.61,-0.266,2.43,6,1,1
sp|P0DV18|GTX3B_NEOCU,3261.75,9.41,-0.229,1.6,0,0,1
sp|P56917|TPA_RANTE,1397.75,9.75,1.808,0.56,0,0,1
sp|P57104|TPL_RANTE,1640.97,11.0,0.823,1.55,0,0,1
sp|P82042|UPE35_UPEMJ,1781.15,9.99,0.882,1.55,0,0,1
sp|C0HL84|PNG1_PANCL,1405.73,10.0,0.592,1.59,0,0,1
sp|C0HL98|MAC1_MACFV,1417.84,10.3,1.031,2.55,0,0,1
sp|D3VML5|PZNA_BACVZ,4366.03,6.69,0.356,-0.69,2,1,1
sp|P0C2D1|OXLA_BOTPI,5298.93,5.15,-0.253,-1.4,0,0,1
sp|P69437|PROTO_AGEPP,1210.55,8.75,1.85,0.55,0,0,1
sp|P82851|KKX11_CHEFU,2716.92,5.59,-1.626,-1.5,4,1,1
sp|P83674|LANA_MEDGN,5360.13,4.7,-0.221,-3.75,3,1,1
sp|P84383|XT3_XENTR,2494.88,10.3,0.248,2.55,0,0,1
sp|P0DUG3|BDS2_URTCR,3792.18,8.49,-0.688,1.52,4,1,1
sp|Q7M1F3|DEF1_AESHI,5863.44,7.73,-1.174,0.5,8,1,1
sp|P62328|TYB4_HUMAN,5052.6,5.02,-1.62,-2.73,0,0,1
sp|Q9V8G0|BM03_DROME,4099.89,8.94,0.874,1.23,2,1,1
sp|P46159|DEFB1_BOVIN,4278.05,8.98,-0.042,3.48,6,1,1
sp|B3A0M3|BR2_ODOJI,3367.93,9.31,0.43,2.5,2,1,1
sp|C0HJF7|ITR1_JATCU,3261.6,7.99,-1.307,0.47,2,1,1
sp|C0HJF8|LNGP_ACULO,2126.45,9.52,-0.717,2.23,0,0,1
sp|C0HJS7|CYC20_CLITE,3177.74,8.66,-0.23,2.4,6,1,1
sp|C0HK42|LL1_LASLA,1724.18,10.6,0.193,4.51,0,0,1
sp|C0HKX8|APD1_PIMDI,2281.67,12.0,-1.76,4.59,0,0,1
sp|C0HLN6|TURB_SYNTU,3548.27,8.33,0.269,1.4,6,1,1
sp|C6FX52|NOSM_STRAS,5363.93,4.05,0.18,-10.82,6,1,1
sp|K7N5L0|DEFEU_ASPAM,4344.8,6.87,-0.229,-0.52,6,1,1
sp|P0C1Q7|MAST_VESTR,3712.21,4.3,0.141,-3.34,0,0,1
sp|P0DTK0|MAST_CHACK,1837.26,10.3,1.006,2.55,0,0,1
sp|P36504|DURA_STRGV,2069.34,7.95,-0.189,0.48,3,1,1
sp|P55897|H2A_BUFGR,4262.93,12.0,-0.992,11.63,0,0,1
sp|P83411|SDMI_SPOLI,4611.12,6.27,-0.815,-1.52,6,1,1
sp|P83429|SPHE1_APTPA,4488.36,11.46,-0.061,8.14,6,1,1
sp|P84156|DEFN_ARCDE,4803.36,8.32,-0.418,1.44,6,1,1
sp|P84337|HTRSN_PHYTS,2754.36,9.87,-0.075,3.56,1,0,1
sp|P85057|RN2A_LITSE,2911.4,8.86,0.6,1.5,2,1,1
sp|P85210|CECD_GALME,4255.79,6.47,-0.29,-0.33,0,0,1
sp|P85215|DEF2_GALME,4949.46,6.73,-0.655,-0.56,6,1,1
sp|P86170|MEP_MELAF,2040.62,10.48,0.617,3.58,0,0,1
sp|C0HKX4|APD_VESMC,2101.42,12.0,-1.95,3.29,0,0,1
sp|E8RUP8|ASTX3_ASTEC,5311.92,8.23,-0.573,0.35,0,0,1
sp|P01514|MAST_VESLE,1479.89,10.3,1.157,2.55,0,0,1
sp|P01518|CRBL_VESCR,1496.92,11.0,1.715,1.55,0,0,1
sp|P0C010|KAS1_KASSE,2283.77,8.51,0.833,0.59,0,0,1
sp|P0C1Q5|MASTP_PROSY,1582.93,9.7,0.421,1.55,0,0,1
sp|P0C8P6|THCL_BACCE,1415.68,5.23,1.007,-0.89,6,1,1
sp|P0CJ32|ASCA8_ASCTR,2019.47,10.0,0.737,2.55,0,0,1
sp|P0DQM5|CAP_BURTA,5012.66,11.54,0.04,2.36,0,0,1
sp|P0DQX6|COD_COLDA,1917.45,10.3,1.117,2.59,0,0,1
sp|P42723|TFXA_RHILT,4406.18,10.11,-0.281,6.24,1,0,1
sp|P61541|BDS1_ANTEL,4558.2,8.3,0.076,1.39,6,1,1
sp|P62569|CR11_RANGI,2585.09,7.02,1.188,-0.33,0,0,1
